work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,full_text,full_text_type,full_text_license,parent_work_id,keywords,languages,topics
9060,"2018 - Indian Institute of Management, Indore","Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,New Contexts and Sites of Humanities Practice in the Digital,,P.P. Sneha,keynote / plenary,,,,,,English,
9061,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,The Tyranny of the Digital: Being Human int he Digital Age,,Paul Arthur,keynote / plenary,,,,,,English,
9062,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,Fidelities of Context in Global Video Game,,Chas Evans,keynote / plenary,,,,,,English,
9063,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,Contestations: Panel I: Digital Humanities and Social Justice in India-I,,[] Swatantra,multipaper session,,,,,,English,
9064,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,Digital Matters: Clicktivism vs. Hashtag activism on the SNS in India,,[] Swatantra,paper,,,,9063,,English,
9065,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,Pirates of the Internet: Un-Censoring the Qanoon,,Debojoy Chanda,paper,,,,9063,,English,
9066,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,"""Virtual Ecologies of Connections and Distractions"": Role of Digital Humanities in Ecocritical Scholarship",,Ansul Rao,paper,,,,9063,,English,
9067,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,"Connections: Panel II: Lived, Perceived, and Conceived Digital Spaces",,Siddhartha Chakraborti,multipaper session,,,,,,English,
9068,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,"The Built, the un-Built and the non-Built De/Constructed: (Re) imaginings and Augmented Reality in the Aligarh Muslim University Campus",,Siddhartha Chakraborti;Faraz Farooq,paper,,,,9067,,English,
9069,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,Mapping Child Readers in Postcolonial Bengal (1948-1968),,Poushali Bhadury,paper,,,,9067,,English,
9070,,"Indian Institute of Management, Indore",,2018-01-01T00:00:00Z,DHARTI,DHAI,"Indian Institute of Management, Indore",Indore,,India,https://cis-india.org/raw/dhai-inagural-conference-2018-puthiya-purayil-sneha-keynote,"Collaborations: Panel III: Digital Pedagogies, New Media Literacies and Scholarly Publishing",,Maya Dodd,multipaper session,,,,,,English,
